id,title,title_norm,release_date,year,month_name,quarter,runtime,genres,budget,revenue,log_budget,log_revenue,roi,log_roi,vote_average,vote_count,log_votes,popularity,log_popularity,main_genre,release_season,netflix,hulu,prime_video,disney_plus,rt_score,channel
773302,Türkiye Sineması,t rkiye sinemas,2020-12-01,2020,December,4,0,"Family, Documentary",1000.0,1000.0,6.90875477931522,6.90875477931522,1.0,0.6931471805599453,0.0,0,0.0,0.6,0.4700036292457355,Family,Holiday,0,0,0,0,,theatrical
772687,The Ruin,the ruin,2018-03-24,2018,March,1,10,,500.0,500.0,6.2166061010848646,6.2166061010848646,1.0,0.6931471805599453,0.0,0,0.0,0.6,0.4700036292457355,,Spring,0,0,0,0,,theatrical
772602,Howard,howard,2019-06-24,2019,June,2,17,Drama,,,,,,,0.0,0,0.0,0.6,0.4700036292457355,Drama,Summer,0,0,0,1,62.0,streaming
774379,The body,the body,2018-11-01,2018,November,4,6,,,,,,,,0.0,0,0.0,0.6,0.4700036292457355,,Fall,1,0,0,0,42.0,streaming
774056,Childhood's End,childhood s end,2020-12-08,2020,December,4,11,Drama,1.0,2.0,0.6931471805599453,1.0986122886681098,2.0,1.0986122886681098,0.0,0,0.0,0.903,0.6434315883140125,Drama,Holiday,0,0,0,0,,theatrical
774012,YLLI,ylli,2020-12-05,2020,December,4,6,"Animation, Fantasy, Mystery",126.0,100.0,4.844187086458591,4.61512051684126,0.7936507936507936,0.5842530923208079,0.0,0,0.0,0.608,0.4749911707567746,Animation,Holiday,0,0,0,0,,theatrical
757818,Honor Amongst Men,honor amongst men,2018-07-14,2018,July,3,0,Drama,300000.0,,12.611541086966115,,,,0.0,0,0.0,0.622,0.4836599556932212,Drama,Summer,0,0,1,0,35.0,streaming
758223,unbeatin,unbeatin,2019-06-29,2019,June,2,9,"Thriller, Crime, Action",2000.0,3238.0,7.601402334583733,8.08301991917133,1.619,0.9627925655255748,0.0,0,0.0,0.6,0.4700036292457355,Thriller,Summer,0,0,0,0,,theatrical
758247,Zimmedari - A Responsibility,zimmedari - a responsibility,2019-04-25,2019,April,2,4,"Drama, Documentary",,1000.0,,6.90875477931522,,,0.0,0,0.0,0.6,0.4700036292457355,Drama,Spring,0,0,0,0,,theatrical
758253,Ek Kahani Maa,ek kahani maa,2018-06-10,2018,June,2,11,"Documentary, Drama",2000.0,3500.0,7.601402334583733,8.160803920954665,1.75,1.0116009116784799,0.0,0,0.0,0.6,0.4700036292457355,Documentary,Summer,0,0,0,0,,theatrical
758257,The Devil Series,the devil series,2018-08-15,2018,August,3,30,"Action, Science Fiction, Crime",3000.0,5000.0,8.006700845440367,8.517393171418904,1.6666666666666667,0.9808292530117263,0.0,0,0.0,0.6,0.4700036292457355,Action,Summer,0,0,0,0,,theatrical
757374,Visible Island,visible island,2020-11-16,2020,November,4,14,,100.0,100.0,4.61512051684126,4.61512051684126,1.0,0.6931471805599453,0.0,0,0.0,0.6,0.4700036292457355,,Fall,0,0,0,0,,theatrical
757236,ABANDONED part 1,abandoned part 1,2018-01-30,2018,January,1,0,,500.0,500.0,6.2166061010848646,6.2166061010848646,1.0,0.6931471805599453,0.0,0,0.0,0.6,0.4700036292457355,,Winter,0,0,0,0,,theatrical
